unix_timestamp,active_mem,readable_time
1366120965,1046786599.1,2013/04/16 16:02:45
1366120980,1046786599.1,2013/04/16 16:03:00
1366120995,1046836703.2,2013/04/16 16:03:15
1366121010,1046880599.6,2013/04/16 16:03:30
1366121025,1046880599.6,2013/04/16 16:03:45
1366121040,1046806502.4,2013/04/16 16:04:00
1366121055,1046663809.1,2013/04/16 16:04:15
1366121070,1046663809.1,2013/04/16 16:04:30
1366121085,1046190702.0,2013/04/16 16:04:45
1366121100,1046190702.0,2013/04/16 16:05:00
1366121115,1045522380.0,2013/04/16 16:05:15
1366121130,1045525117.6,2013/04/16 16:05:30
1366121145,1045440574.1,2013/04/16 16:05:45
1366121160,1045501806.7,2013/04/16 16:06:00
1366121175,1046175798.7,2013/04/16 16:06:15
1366121190,1046175798.7,2013/04/16 16:06:30
1366121205,1046887986.9,2013/04/16 16:06:45
1366121220,1046959962.4,2013/04/16 16:07:00
1366121235,1046826194.4,2013/04/16 16:07:15
1366121250,1046477489.3,2013/04/16 16:07:30
1366121265,1045515848.8,2013/04/16 16:07:45
1366121280,1045515848.8,2013/04/16 16:08:00
1366121295,1045209348.0,2013/04/16 16:08:15
1366121310,1044941138.1,2013/04/16 16:08:30
1366121325,1044881720.0,2013/04/16 16:08:45
1366121340,1045961758.4,2013/04/16 16:09:00
1366121355,1046781384.8,2013/04/16 16:09:15
1366121370,1046722265.3,2013/04/16 16:09:30
1366121385,1046722265.3,2013/04/16 16:09:45
1366121400,1046862650.4,2013/04/16 16:10:00
1366121415,1046862650.4,2013/04/16 16:10:15
1366121430,1046758859.2,2013/04/16 16:10:30
1366121445,1046474796.0,2013/04/16 16:10:45
1366121460,1046463999.2,2013/04/16 16:11:00
1366121475,1046202591.7,2013/04/16 16:11:15
1366121490,1046202591.7,2013/04/16 16:11:30
1366121505,1045909650.4,2013/04/16 16:11:45
1366121520,1046130091.5,2013/04/16 16:12:00
1366121535,1045763439.7,2013/04/16 16:12:15
1366121550,1044619008.5,2013/04/16 16:12:30
1366121565,1044638476.0,2013/04/16 16:12:45
1366121580,1044991467.5,2013/04/16 16:13:00
1366121595,1044840137.3,2013/04/16 16:13:15
1366121610,1044385992.0,2013/04/16 16:13:30
1366121625,1044540464.0,2013/04/16 16:13:45
1366121640,1044660642.7,2013/04/16 16:14:00
1366121655,1045292640.3,2013/04/16 16:14:15
1366121670,1044873703.2,2013/04/16 16:14:30
1366121685,1044814688.8,2013/04/16 16:14:45
1366121700,1044748124.8,2013/04/16 16:15:00
1366121715,1044748124.8,2013/04/16 16:15:15
1366121730,1044719576.8,2013/04/16 16:15:30
1366121745,1044846206.1,2013/04/16 16:15:45
1366121760,1045088079.2,2013/04/16 16:16:00
1366121775,1045091888.3,2013/04/16 16:16:15
1366121790,1045392073.9,2013/04/16 16:16:30
1366121805,1045392073.9,2013/04/16 16:16:45
1366121820,1045472716.0,2013/04/16 16:17:00
1366121835,1044000033.1,2013/04/16 16:17:15
1366121850,1044000033.1,2013/04/16 16:17:30
1366121865,1043325261.3,2013/04/16 16:17:45
1366121880,1041903525.1,2013/04/16 16:18:00
1366121895,1041903525.1,2013/04/16 16:18:15
1366121910,1040585465.6,2013/04/16 16:18:30
1366121925,1040437687.5,2013/04/16 16:18:45
1366121940,1042448290.0,2013/04/16 16:19:00
1366121955,1042448290.0,2013/04/16 16:19:15
1366121970,1043255512.0,2013/04/16 16:19:30
1366121985,1046187317.6,2013/04/16 16:19:45
1366122000,1046654689.3,2013/04/16 16:20:00
1366122015,1046984772.0,2013/04/16 16:20:15
1366122030,1047776198.4,2013/04/16 16:20:30
1366122045,1047776198.4,2013/04/16 16:20:45
1366122060,1048256027.2,2013/04/16 16:21:00
1366122075,1048256027.2,2013/04/16 16:21:15
1366122090,1048384854.0,2013/04/16 16:21:30
1366122105,1048384854.0,2013/04/16 16:21:45
1366122120,1048527372.0,2013/04/16 16:22:00
1366122135,1048384012.1,2013/04/16 16:22:15
1366122150,1048384012.1,2013/04/16 16:22:30
1366122165,1048264038.4,2013/04/16 16:22:45
1366122180,1048241376.0,2013/04/16 16:23:00
1366122195,1048427252.5,2013/04/16 16:23:15
1366122210,1048427252.5,2013/04/16 16:23:30
1366122225,1048340588.8,2013/04/16 16:23:45
1366122240,1048222373.5,2013/04/16 16:24:00
1366122255,1048222373.5,2013/04/16 16:24:15
1366122270,1048531154.7,2013/04/16 16:24:30
1366122285,1048531154.7,2013/04/16 16:24:45
1366122300,1047940429.6,2013/04/16 16:25:00
1366122315,1047940429.6,2013/04/16 16:25:15
1366122330,1047708260.0,2013/04/16 16:25:30
1366122345,1046039705.3,2013/04/16 16:25:45
1366122360,1041542036.3,2013/04/16 16:26:00
1366122375,1041526611.2,2013/04/16 16:26:15
1366122390,1041526611.2,2013/04/16 16:26:30
1366122405,1041373456.0,2013/04/16 16:26:45
1366122420,1041373456.0,2013/04/16 16:27:00
1366122435,1039677397.2,2013/04/16 16:27:15
1366122450,1039677397.2,2013/04/16 16:27:30
1366122465,1039223025.6,2013/04/16 16:27:45
1366122480,1038995652.3,2013/04/16 16:28:00
1366122495,1038934044.0,2013/04/16 16:28:15
1366122510,1038324157.1,2013/04/16 16:28:30
1366122525,1038101561.6,2013/04/16 16:28:45
1366122540,1038101561.6,2013/04/16 16:29:00
1366122555,1037808787.5,2013/04/16 16:29:15
1366122570,1037624847.7,2013/04/16 16:29:30
1366122585,1037581062.7,2013/04/16 16:29:45
1366122600,1037712588.0,2013/04/16 16:30:00
1366122615,1037743519.2,2013/04/16 16:30:15
1366122630,1037534584.5,2013/04/16 16:30:30
1366122645,1037534584.5,2013/04/16 16:30:45
1366122660,1037312036.0,2013/04/16 16:31:00
1366122675,1037312036.0,2013/04/16 16:31:15
1366122690,1037902296.8,2013/04/16 16:31:30
1366122705,1038015512.8,2013/04/16 16:31:45
1366122720,1037981078.4,2013/04/16 16:32:00
1366122735,1037981078.4,2013/04/16 16:32:15
